 ERC20 uniq rec token name,avg val received,total Ether sent,Received Tnx,Time Diff between first and last (Mins),Avg min between received tnx,max value received ,Sent tnx,FLAG,Avg min between sent tnx,Number of Created Contracts,avg val sent,,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr,FLAG
0,1000.5,2000.998169,2,4.67,0,1476.834868,3,0,1.56,0,666.99939,,0.001830667,0,0,0,0,0
1,0.733918,2.934812,4,6187.93,29.62,1,1,1,0,0,2.934812,,0.000861,0,0,0,0,1
0,1000.5,2000.998585,2,8.23,0,1038.469658,3,0,2.74,0,666.999528,,0.001414909,0,0,0,0,0
8,4.843387,14.52427,3,293372.35,54225.86,10,4,0,32673.7,0,3.631067,,0.00589,701.9948103,100,0,1,0
0,2.325925,2.32513936,1,2.35,0,2.325925,1,0,0,0,2.325139,,0.00078606,0,0,0,0,0
0,117.169775,2343.382229,20,130157.37,6501.21,410,20,0,6.66,0,117.169111,,0.013263234,0,0,0,0,0
0,0.332478,1.658188208,5,25295.02,5058.21,0.563021,5,0,0.79,0,0.331638,,0.0042,0,0,0,0,0
0,7.769231,100.9990158,13,322.5,0.05,8.499496,2,0,160.92,0,50.499508,,0.000984218,0,0,0,0,0
14,36.627481,382.8927612,10,838736.5,62337.46,211.324604,26,0,8283.15,1,14.726645,,-16.61794746,331670.2916,202637.6798,0,6,0
1,1.130203,7.910559158,7,17935.3,536.85,5,1,1,0,0,7.910559,,0.000861,1.337,0,0,0,1
0,2.9875,2.987028364,1,3.35,0,2.9875,1,0,0,0,2.987028,,0.000471636,0,0,0,0,0
0,50.5,100.9989738,2,332.73,0.21,66.568311,2,0,166.16,0,50.499487,,0.001026218,0,0,0,0,0
7,0.139894,0,4,68408.98,12579.59,0.495,3,0,6030.21,0,0,,0.559574225,243.2059775,178630.51,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,13.37,0,0,0,1
0,0.35144,76.70896205,219,305923.5,1391.33,1.004368,217,0,5.63,0,0.353498,,0.256362089,0,0,0,0,0
2,0.625732,0,146,226775.5,1553.26,1.646992,0,0,0,1,0,,91.35689989,1.934497029,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
1,2.806656,1484.310606,529,77826.12,141.26,9.999791,510,0,6.08,0,2.910413,,0.410166216,1.426325603,1.426325603,0,1,0
29,11,0,4,21206.93,0.92,20,9996,0,2.12,3,0,,44,3106124509,100,0,1,0
0,1.328537,21.23311427,16,463984.88,28988.76,5.004578,16,0,10.3,0,1.32707,,0.023478615,0,0,0,0,0
2,0.396618,0,135,201151.07,1490.01,1.152658,0,0,0,1,0,,53.54340471,1.76946877,0,0,0,0
1,11,10.998551,1,94.73,0,11,3,1,31.58,0,3.666184,,0.001449,0,0,0,0,1
1,8.749751,26.247,3,5841.03,435.85,23.995,3,1,1511.16,0,8.749,,0.0022516,1.337,0,0,0,1
1,0.204863,0.613141,3,293616.7,97592.18,0.312048,3,1,280.06,0,0.20438,,0.001449,13.37,0,0,0,1
1,0.982368,10.80497707,11,8077.95,381.32,1.99879,1,1,0,0,10.804977,,0.001066,1.337,0,0,0,1
1,0.00048,0,4247,909754.48,214.21,1,0,0,0,1,0,,2.036687015,0.000002,0,0.000002,0,0
1,0.64,0.639139,1,13183.12,0,0.64,1,1,0,0,0.639139,,0.000861,1.337,0,0,0,1
4,0.901066,0,221,319291.53,1444.76,1.638875,0,0,0,1,0,,199.135681,8.923476495,0,0,0,0
0,1000.5,2000.998585,2,6.2,0,1475.696073,3,0,2.07,0,666.999528,,0.001414909,0,0,0,0,0
1,0,0.00806646,0,278351.38,0,0,8,0,34793.92,0,0.001008,,-0.00806646,5.84E-09,5.84E-09,0,1,0
0,101,100.998446,1,59.73,0,101,3,0,19.91,0,33.666149,,0.001554,0,0,0,0,0
2,0.73046,173.6914851,238,1036611.32,4351.99,1.9997,237,0,3.53,0,0.732875,,0.158088844,100.01,0,0,0,0
1,3.019727,22.125,8,1008384.1,117277.82,9.078019,8,0,8770.2,0,2.765625,,2.03281732,0.533020808,0,0,0,0
2,16.146862,0,17,226751.72,13338.34,105.964449,0,0,0,1,0,,274.4966488,0.689595617,0,0,0,0
25,280.702992,7939.816235,27,1188813.58,7993.31,2428.901417,141,0,6900.67,0,56.310753,,-360.8354499,2091652.96,2080091.879,0,19,0
3,7.080303,7.0795,1,175722.77,0,7.080303,3,0,58574.26,0,2.359833,,0.000802697,69356,69300,0,1,0
0,1000.5,2000.998585,2,10.43,0,1849.028375,3,0,3.48,0,666.999528,,0.001414909,0,0,0,0,0
2,5.345456,0,16,200098.98,12506.19,19.77,0,0,0,1,0,,85.5273,2.422381996,0,0,0,0
23,167.979641,2540.083853,14,955278,6594.93,1100,59,0,14626.26,0,43.052269,,-188.368881,1555219.09,1545239.028,0,12,0
30,0.32932,5.355408334,17,671971.85,4734.65,0.7,53,0,11160.05,0,0.101045,,0.243034874,12194.83763,2838.768831,0,21,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
0,3.608889,3.60826874,1,23.88,0,3.608889,1,0,0,0,3.608269,,0.00062,0,0,0,0,0
3,2.048649,0,551,191237.18,347.07,83.323348,0,0,0,1,0,,1128.805574,19.9,0,0,0,0
0,1.297302,2.593890756,2,15909.2,155.33,2.33203,1,0,0,0,2.593891,,0.000714034,0,0,0,0,0
0,50.5,100.9984519,2,72,0.18,93.210088,3,0,23.88,0,33.666151,,0.001548055,0,0,0,0,0
10,3.961816,93.51186242,16,156518.43,2074.28,15.7,217,0,568.34,0,0.43093,,-30.1228122,36824.51292,36815.76187,0,8,0
1,1,0.999559,1,60301.58,0,1,1,0,0,0,0.999559,,0.000441,0.075326298,0,0,0,0
0,50.5,100.9990158,2,318.42,0.84,78.045264,2,0,158.37,0,50.499508,,0.000984218,0,0,0,0,0
0,33.045,66.089559,2,2680.68,334.64,65.995,1,0,0,0,66.089559,,0.000441,0,0,0,0,0
0,0.05,0.04938,1,305.8,0,0.05,1,0,0,0,0.04938,,0.00062,0,0,0,0,0
0,4.1474,41.4683043,10,78297.17,7825.62,7.195,10,0,4.09,0,4.14683,,0.0056957,0,0,0,0,0
0,3.519206,31.66774972,9,537586.8,59636.12,13.32,8,0,107.72,0,3.958469,,0.005103,0,0,0,0,0
0,101,100.998446,1,68.38,0,101,3,0,22.79,0,33.666149,,0.001554,0,0,0,0,0
21,9.37475,11.31907636,4,859790.03,19454.28,30,9,0,86885.88,0,1.257675,,26.17992364,2970.141074,500,0,1,0
11,6.018223,17.74754889,3,728981.33,68553.37,9.854268,9,0,58146.8,0,1.97195,,0.30711888,27431.74044,6447.690014,0,5,0
0,0.79509,3.962961234,5,93454.25,18676.77,1.30837,5,0,14.08,0,0.792592,,0.012487636,0,0,0,0,0
18,2.229268,0,5,733056.53,133052.62,5.02,3,0,22597.81,0,0,,11.14633799,15087.05793,1.000000002,0,2,0
1,0.252699,4.273,9,7213.98,729.52,0.8,3,1,216.09,0,1.424333,,-1.99870543,0,0,0,0,1
15,1.443682,51.96593796,36,166929.13,1474.59,20.00194,28,1,4065.86,0,1.855926,,0.006603639,22497.9512,22438.16191,0,3,1
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
0,11.023673,77.16257078,7,474662.65,30634.28,48.119954,5,0,52044.54,0,15.432514,,0.003143426,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,1.337,0,0,0,1
0,0.81867,0,8,263098.07,32887.26,1.014997,0,0,0,1,0,,6.549358398,0,0,0,0,0
2,0.368554,0,101,192599.63,1906.93,1.000858,0,0,0,1,0,,37.22391987,0.93676777,0,0,0,0
5,27.033333,81.09778956,3,314177.05,2839.59,80,3,0,101886.09,0,27.032597,,0.002210436,221.6279701,0,0,0,0
2,1.826433,27.39,15,47559.53,256.14,7,2,1,21858.69,0,13.695,,0.006502353,973.8498197,0,0,0,1
7,0.041262,0.408685208,10,529275.62,9358.68,0.077159,4,0,108922.21,0,0.102171,,0.003930314,160.2491906,0,0,0,0
0,0.150103,5.687927823,38,113391.13,2500.12,0.180031,38,0,483.85,0,0.149682,,0.015981003,0,0,0,0,0
0,1000.5,2000.998585,2,17.12,0,1322.172115,3,0,5.71,0,666.999528,,0.001414909,0,0,0,0,0
0,7.520673,90.19614192,12,692705.02,57702.91,17.165324,12,0,22.51,0,7.516345,,0.0519281,0,0,0,0,0
0,16.585682,331.6881684,20,104679.02,5224.66,29.448176,20,0,9.29,0,16.584408,,0.02546468,0,0,0,0,0
5,0.620867,0,84,319327.22,3801.51,1.005102,0,0,0,1,0,,52.15283878,71.80246931,0,0,0,0
0,101,100.998446,1,64.68,0,101,3,0,21.56,0,33.666149,,0.001554,0,0,0,0,0
0,0.626143,2.501713986,4,310051.07,51501.24,1.303354,5,0,20809.22,0,0.500343,,0.002856764,0,0,0,0,0
0,33.666667,100.997984,3,79.38,0.14,66.99811,4,0,19.74,0,25.249496,,0.002016,0,0,0,0,0
0,5.292872,5.29225227,1,9.28,0,5.292872,1,0,0,0,5.292252,,0.00062,0,0,0,0,0
6,1.183064,0,17,8183.52,481.38,4.069406,0,1,0,0,0,,20.11209179,1599,0,0,0,1
0,0.1,0.09938,1,10.72,0,0.1,1,0,0,0,0.09938,,0.00062,0,0,0,0,0
52,15.558149,1151.25988,74,285646.08,63.27,880,53,1,5301.21,0,21.721885,,0.043146035,568470.4338,553108.9758,0,8,1
2,1.050797,0,297,291430.58,981.25,2.874991,0,0,0,1,0,,312.0866294,4.174092542,0,0,0,0
9,4.394636,79.29918731,16,698587.03,19263.72,16,15,0,26024.5,0,5.286612,,-8.985018344,164815.0999,98505,0,2,0
0,1.039354,8.308890519,8,538802.68,33966.34,4.020277,9,0,29674.66,0,0.92321,,0.005941131,0,0,0,0,0
11,63.3775,253.2,4,11677.73,221,250.5,16,0,674.61,0,15.825,,0.31,18468.63835,0.901333333,0,4,0
11,6.894,62.943236,10,34482.18,1870.38,8.29,4,0,3944.6,0,15.735809,,5.996764,1348.4167,0,0,0,0
0,1000.5,2000.998585,2,18.47,0.42,1440.815594,3,0,5.88,0,666.999528,,0.001414909,0,0,0,0,0
6,0.274234,105.447907,385,1044781.85,2676.14,14.99,113,0,128.05,0,0.933167,,0.13204982,371.1812976,0,0,0,0
0,101,100.998446,1,71.38,0,101,3,0,23.79,0,33.666149,,0.001554,0,0,0,0,0
0,84.967084,11300.5275,133,612068.8,4549.21,2000,133,0,52.81,0,84.966372,,0.094658461,0,0,0,0,0
1,0.128,0.372,3,2603.55,487.94,0.234,7,1,162.82,0,0.053143,,0.012,2514.965579,2514.965579,0,1,1
10,12.584634,302.0254821,24,285373.17,9215.72,33.995,11,0,5835.99,0,27.456862,,0.005737725,15795.14883,10631.6,0,1,0
3,0.839395,0,24,390644.78,16276.87,1.016043,0,0,0,1,0,,20.14548851,1.981164681,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
0,50.5,100.9990158,2,324.83,0.33,69.226785,2,0,162.09,0,50.499508,,0.000984218,0,0,0,0,0
1,1.524117,22.8574437,15,12709.32,271.47,9.82,5,1,1727.45,0,4.571489,,0.004305,2.674,0,0,0,1
0,0.882273,212.3383337,241,1113096.07,4272.16,5,230,0,363.07,0,0.92321,,0.289525598,0,0,0,0,0
1,5,4.992251,1,30163.47,0,5,9,1,3351.5,0,0.554695,,0.007749,13.37,0,0,0,1
1,0.714989,2.14405764,3,9814.75,517.46,1.020475,3,1,2754.12,0,0.714686,,0.00090924,0,0,0,0,1
0,22,21.99916,1,5.92,0,22,1,0,0,0,21.99916,,0.00084,0,0,0,0,0
2,0.20213,0,133,201171.3,1512.57,0.53531,0,0,0,1,0,,26.88332742,0.963698731,0,0,0,0
9,0.644279,6.442345019,10,47641.15,896.64,2,1,1,0,0,6.442345,,0.000441,10877.41271,0,0,0,1
0,0.67981,5.43501682,8,31968.37,3985.82,0.995,8,0,10.23,0,0.679377,,0.003465,0,0,0,0,0
1,0.017647,0,17,470888.42,27699.32,0.1,0,1,0,1,0,,0.3,31250,0,0,0,1
26,5.609592,170.9322,28,768735.67,9575.43,23.477,57,0,8782.87,0,2.998811,,-13.86363733,1549372.993,632570.0225,0,9,0
0,0.232103,0.694374632,3,6941.1,2269.13,0.25,3,0,44.57,0,0.231458,,0.001935338,0,0,0,0,0
0,3.996448,3.9907986,1,52746.85,0,3.996448,11,0,4795.17,0,0.3628,,0.005649,0,0,0,0,0
1,0.974037,29.21851686,30,29823.23,945.99,6.366482,3,1,481.15,0,9.739506,,0.002583,1.337,0,0,0,1
0,25.267236,884.2442772,35,342473.72,9768.03,212.859986,29,0,20.44,0,30.491182,,0.1089988,0,0,0,0,0
5,1.561177,12.4868,8,446752.73,253.61,5.5,6,1,74120.64,0,2.081133,,0.00262,100.337,0,0,0,1
0,50.5,100.9984736,2,76.9,0,53.427954,3,0,25.63,0,33.666158,,0.001526354,0,0,0,0,0
2,0.189459,0,105,226755.65,2159.58,0.354629,0,0,0,1,0,,19.89317093,1.136137219,0,0,0,0
1,1.234828,0,55,132985.05,2417.91,2.436,0,0,0,1,0,,67.9155301,0.781816227,0,0,0,0
36,0.278959,49315.0159,1,55360.98,0,0.278959,9999,0,5.54,0,4.931995,,-49314.73694,1555784373,100,0,1,0
0,101,100.9985267,1,327.38,0,101,3,0,109.13,0,33.666176,,0.001473262,0,0,0,0,0
0,0.603787,1.205783752,2,1287.5,631.46,1,2,0,12.29,0,0.602892,,0.001789548,0,0,0,0,0
1,1.052941,10.529,10,13785.13,412.37,6.109632,1,1,0,0,10.529,,0.0004125,0,0,0,0,1
2,25.021534,0,9,226769.35,25196.59,145.127,0,0,0,1,0,,225.1938069,1.490388922,0,0,0,0
1,0.5,0.499,1,12620.85,0,0.5,1,1,0,0,0.499,,0.001,0,0,0,0,1
1,7.5,14.999,2,65.42,20.05,10,2,1,12.66,0,7.4995,,0.001,0,0,0,0,1
0,1.012701,1.01226017,1,2557.08,0,1.012701,1,0,0,0,1.01226,,0.000441,0,0,0,0,0
4,0.531882,0,154,319322.88,2073.53,1.197972,0,0,0,1,0,,81.90989038,11.02596283,0,0,0,0
0,4.578098,22.88587181,5,37532.92,7505.81,13.002438,5,0,0.78,0,4.577174,,0.00462,0,0,0,0,0
4,0.270489,0,71,319297.02,4497.14,0.524652,0,0,0,1,0,,19.20471339,3.583574223,0,0,0,0
1,6.331528,18.99195975,3,90653.83,525.91,18.74,3,0,29692.04,0,6.330653,,0.002625572,0.075491362,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,1.337,0,0,0,1
0,101,100.9985118,1,306.57,0,101,3,0,102.19,0,33.666171,,0.001488218,0,0,0,0,0
0,3.008593,45.12047326,15,123290.22,8153.28,8.3,10,0,99.11,0,4.512047,,0.00842815,0,0,0,0,0
0,1000.5,2000.998585,2,5.08,0.28,1576.051174,3,0,1.51,0,666.999528,,0.001414909,0,0,0,0,0
1,0.275376,1.098080501,4,273807.62,9441.54,0.42,6,0,39340.24,0,0.183013,,0.003423,0.031637045,0,0,0,0
19,10.25182,276.7641086,27,14169.92,158.2,115.048865,38,1,260.49,0,7.283266,,0.035043687,57097.44532,57081.10832,0,2,1
1,2.140515,0,17,88.03,5.18,10,0,1,0,1,0,,36.38876002,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
2,1.254398,31.35552467,25,2701.45,107.14,10,5,1,4.58,0,6.271105,,0.004428,1.337,0,0,0,1
0,1000.5,2000.998585,2,6.32,0,1628.39952,3,0,2.11,0,666.999528,,0.001414909,0,0,0,0,0
0,101,100.998446,1,66.43,0,101,3,0,22.14,0,33.666149,,0.001554,0,0,0,0,0
0,101,100.9985715,1,315.47,0,101,2,0,157.73,0,50.499286,,0.001428506,0,0,0,0,0
0,1.791159,5.37297636,3,1540.77,55.66,4,1,0,0,0,5.372976,,0.0005,0,0,0,0,0
2,139.405313,10734.10249,77,999219.65,12970.92,1950,74,0,6.2,0,145.055439,,0.106614403,500299.9,499999.9,0,1,0
1,13.655517,122.8858597,9,815602.62,26919.57,37.941211,8,0,71665.81,0,15.360732,,0.013791916,0.45226043,0.45226043,0,1,0
0,50.5,100.9989738,2,326.97,0.82,71.625209,2,0,162.67,0,50.499487,,0.001026218,0,0,0,0,0
4,0.00004,0,494,27819.42,56.31,0.02,0,0,0,0,0,,0.02,3.036723904,0,0,0,0
2,0.263904,0,166,176552.5,1063.57,16.077896,0,0,0,1,0,,43.80804044,3.706360833,0,0,0,0
0,101,100.9985118,1,306.57,0,101,3,0,102.19,0,33.666171,,0.001488218,0,0,0,0,0
1,0.05,0,1,0,0,0.05,0,1,0,0,0,,0.05,1.337,0,0,0,1
3,0.996382,466.6851333,468,440786.35,479.56,4.142844,62,0,3489.53,0,7.52718,,-0.378160539,444.1369328,0,0,0,0
1,0.088644,5.712911554,65,266447.13,4089.39,1.131707,64,0,9.95,0,0.089264,,0.0489526,1E-10,0,0,0,0
6,0.737081,7.861153407,8,67635.75,3593.72,1.995,17,0,2287.41,0,0.462421,,-1.964503397,3384.899888,5882.899888,0,5,0
0,1000.5,2000.998236,2,669.4,0,1511.453853,4,0,167.35,0,500.249559,,0.001764,0,0,0,0,0
2,6.019384,24.07561623,4,138537.38,26662.47,21.6,5,0,6377.5,0,4.815123,,0.001921772,601.551698,1.551698003,0,1,0
1,0.833726,36.78353906,44,17111,39.4,5,1,1,0,0,36.783539,,-0.09958,0,0,0,0,1
0,10.569135,137.3838759,13,192361.32,14787.26,30.415387,12,0,10.58,0,11.448656,,0.014883762,0,0,0,0,0
0,50.5,100.9990158,2,320.67,0.84,53.164995,2,0,159.49,0,50.499508,,0.000984218,0,0,0,0,0
26,100,0,1,458881.72,0,100,9999,0,45.89,2404,0,,100,1383247.801,327417.9906,0,1816,0
3,0.940666,0,87,226771.23,2606.57,1.008521,0,0,0,1,0,,81.8379298,3.721844893,0,0,0,0
1,0.166116,0.16567455,1,106083,0,0.166116,1,0,0,0,0.165675,,0.00044184,0.012512933,0,0,0,0
0,50.5,105.496652,2,341695.82,170813.83,101,3,0,22.72,0,35.165551,,-4.496652,0,0,0,0,0
1,2.8975,11.57695204,4,35470.23,98,9.5,15,1,2338.55,0,0.771797,,0.01304796,1.337,0,0,0,1
1,7.394164,73.93665022,10,85149.88,5363.26,18.409679,11,0,2865.2,0,6.721514,,0.00499026,0.069341433,0,0,0,0
0,1000.5,2000.998585,2,10.38,0.38,1092.146496,3,0,3.21,0,666.999528,,0.001414909,0,0,0,0,0
0,2.88,8.74463284,2,28038.22,603.16,5.75,6,0,4471.98,0,1.457439,,-2.98463284,0,0,0,0,0
0,50.5,100.9990158,2,325.17,0.53,53.433183,2,0,162.06,0,50.499508,,0.000984218,0,0,0,0,0
2,1.063666,0,716,449862.18,628.3,4.026733,0,0,0,1,0,,761.5849408,1.291960667,0,0,0,0
0,50.5,100.9989738,2,329.98,0.82,96.810367,2,0,164.18,0,50.499487,,0.001026218,0,0,0,0,0
0,7.1,21.29896,3,637.33,210.53,12.5,2,0,2.87,0,10.64948,,0.00104,0,0,0,0,0
0,0.538338,0,621,379033.67,610.36,35,0,0,0,1,0,,334.3078214,0,0,0,0,0
0,50.5,100.998488,2,76.17,0.49,53.611111,3,0,25.06,0,33.666163,,0.001512,0,0,0,0,0
2,2.014836,4.024222139,2,740340.57,348288.3,4.024671,2,0,21881.98,0,2.012111,,0.005449141,19.55316359,0.303163587,0,1,0
0,3.891569,3.891065166,1,11.7,0,3.891569,1,0,0,0,3.891065,,0.000504,0,0,0,0,0
0,50.5,100.9990158,2,330.47,1.23,51.641455,2,0,164.01,0,50.499508,,0.000984218,0,0,0,0,0
1,0,0,9999,156255.3,15.63,0,0,0,0,1,0,,0,0,0,0,0,0
0,3.256827,6.512763064,2,59675.72,29833.75,5.318655,2,0,4.11,0,3.256382,,0.000891636,0,0,0,0,0
0,4.271109,81.13647309,19,570711.12,29884.06,16,15,0,194.26,0,5.409098,,0.014592532,0,0,0,0,0
0,101,101.996652,1,69.68,0,101,3,0,23.23,0,33.998884,,-0.996652,0,0,0,0,0
9,1.208,6.021110176,5,149807.42,4009.83,6,23,0,5641.66,0,0.261787,,0.018889824,131693.302,131693.302,0,1,0
20,2.355087,42.33409632,18,608994.53,12074.23,11,54,0,7252.93,0,0.783965,,0.05747253,93846.59312,86720.71066,0,11,0
2,2.4475,0,8,200117.38,25014.67,6.6,0,0,0,1,0,,19.58,0.879863432,0,0,0,0
0,101,100.9990158,1,327.67,0,101,2,0,163.83,0,50.499508,,0.000984218,0,0,0,0,0
2,0.59925,0,10,1723.37,172.34,1.036386,0,1,0,0,0,,5.9925016,112.37,0,0,0,1
1,1,0.9990928,1,36132.68,0,1,1,1,0,0,0.999093,,0.0009072,0,0,0,0,1
4,1.921199,34.56,18,222162.87,61.56,13,2,1,110527.4,0,17.28,,0.02158744,2.337,0,0,0,1
12,37.318312,149.2580427,4,41835.18,4572.9,147,20,1,1177.18,0,7.462902,,0.015203328,46143.32711,46143.32711,0,2,1
1,17.972795,449.2255919,25,299067.45,10460.76,99.995,27,0,1390.69,0,16.637985,,0.094272728,4039.981931,4039.981931,0,1,0
2,0.815149,0,388,463200.85,1193.82,1.057011,0,0,0,1,0,,316.2779288,0.459794566,0,0,0,0
2,0.202148,0,111,226784.6,2043.1,0.421487,0,0,0,1,0,,22.43845016,1.211817725,0,0,0,0
0,1000.5,2000.998585,2,21.3,0,1494.895621,3,0,7.1,0,666.999528,,0.001414909,0,0,0,0,0
1,0.768069,0,138,198901.02,1441.31,2.436095,0,0,0,1,0,,105.9935508,1.216983608,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,13.37,0,0,0,1
0,0.999528,0.998481413,1,56.48,0,0.999528,1,0,0,0,0.998481,,0.001046957,0,0,0,0,0
0,0.5025,2.007177605,4,1238.77,304.62,1.5,4,0,5.07,0,0.501794,,0.002822395,0,0,0,0,0
0,3.718618,672.9361577,181,959668.07,5291.24,9.99,147,0,13.29,0,4.577797,,0.133718224,0,0,0,0,0
0,0.775874,6.202514386,8,54693.57,6816.93,1.483491,8,0,19.77,0,0.775314,,0.004477184,0,0,0,0,0
17,1.246861,1,3,505260.45,441.12,1.589514,2,0,251968.55,0,0.5,,2.7405817,18001.18896,0,0,0,0
0,0.39,0.39776788,1,772.02,0,0.39,4,0,193,0,0.099442,,-0.00776788,0,1,0,1,0
0,50.5,100.998477,2,73.42,0,71.768873,3,0,24.47,0,33.666159,,0.001523001,0,0,0,0,0
0,25.771667,231.9407158,9,32021.65,3545.12,36,9,0,12.84,0,25.771191,,0.004284209,0,0,0,0,0
0,101,100.998446,1,64.52,0,101,3,0,21.51,0,33.666149,,0.001554,0,0,0,0,0
46,12.91995,590.27,44,726979.05,4371.28,100.1,179,0,2986.83,0,3.297598,,-21.7921998,91057179.23,72249002.72,0,25,0
0,0.087559,0.086512043,1,50.38,0,0.087559,1,0,0,0,0.086512,,0.001046957,0,0,0,0,0
6,0.443605,100.5314617,227,414113.87,1810.22,1.022724,95,0,33.63,0,1.058226,,0.166916557,397.5167844,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,13.37,0,0,0,1
0,1000.5,2000.998585,2,10.73,0,1574.120926,3,0,3.58,0,666.999528,,0.001414909,0,0,0,0,0
0,0.67675,0.67574201,1,12125.75,0,0.67675,2,0,6062.88,0,0.337871,,0.001008,0,0,0,0,0
0,0.325321,0.975081,3,40990.62,10813.3,0.924291,2,0,4275.36,0,0.48754,,0.00088271,0,0,0,0,0
0,0.234468,194.4975697,831,509889.9,590.11,4.59007,823,0,23.7,0,0.236328,,0.345681,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1
54,10.617423,605.511005,49,956079.57,4309.93,49.70045,217,0,3432.69,0,2.790373,,-85.25727989,1199597.169,896257.5429,0,24,0
0,0.223223,29.60155961,133,388265.52,2913.52,1.74309,132,0,5.82,0,0.224254,,0.087141798,0,0,0,0,0
0,101,100.9979,1,64.9,0,101,4,0,16.23,0,25.249475,,0.0021,0,0,0,0,0
0,50.5,100.9990158,2,322.55,0.5,55.671094,2,0,160.78,0,50.499508,,0.000984218,0,0,0,0,0
